method,interactions_mean,interactions_std,success_rate_mean,success_rate_std,post_bootstrap_success_mean,final_library_size_mean,mean_interactions_per_task,elapsed_s_mean
A-EVIS (verified library),52445.0,2497.7283679375546,0.6055555555555555,0.045896421227384174,0.5800000000000001,72.66666666666667,437.0416666666667,5.681263808666661
Cold EVIS (no transfer),59302.0,309.84996369210694,0.4666666666666666,0.028867513459481298,0.4633333333333334,0.0,494.18333333333334,7.856135219666669
EVIS-stream(120 tasks),60065.333333333336,0.0,0.2249999999999999,0.0520416499866533,,,500.5444444444445,3.634959462333276
TD3,60000.0,0.0,0.486111111111111,0.0048112522432468,,,500.0,58.67994855033339
PPO,60000.0,0.0,0.2805555555555555,0.0292657048690353,,,500.0,24.438841370333197
